time,count,activity
2026-05-02 12:36:56.965167,1,Low
2026-05-02 12:36:57.057867,0,Low
2026-05-02 12:36:57.174015,1,Low
2026-05-02 12:36:57.280306,1,Low
2026-05-02 12:36:57.369725,2,Low
2026-05-02 12:36:57.489812,1,Low
2026-05-02 12:36:57.597535,1,Low
2026-05-02 12:36:57.707883,1,Low
2026-05-02 12:36:57.822024,1,Low
2026-05-02 12:36:57.923595,1,Low
2026-05-02 12:36:58.021349,1,Low
2026-05-02 12:36:58.120814,1,Low
2026-05-02 12:36:58.222179,1,Low
2026-05-02 12:36:58.377564,0,Low
2026-05-02 12:36:58.494582,1,Low
2026-05-02 12:36:58.606886,1,Low
2026-05-02 12:36:58.710722,1,Low
2026-05-02 12:36:58.835502,1,Low
2026-05-02 12:36:58.999454,1,Low
2026-05-02 12:36:59.170515,1,Low
2026-05-02 12:36:59.322197,1,Low
2026-05-02 12:36:59.486127,1,Low
2026-05-02 12:36:59.618492,1,Low
2026-05-02 12:36:59.804343,1,Low
2026-05-02 12:37:00.004909,1,Low
2026-05-02 12:37:00.170809,1,Low
2026-05-02 12:37:00.285751,1,Low
2026-05-02 12:37:00.399039,1,Low
2026-05-02 12:37:00.521303,1,Low
2026-05-02 12:37:00.649181,1,Low
2026-05-02 12:37:00.761471,1,Low
2026-05-02 12:37:00.857773,1,Low
2026-05-02 12:37:00.975375,1,Low
2026-05-02 12:37:01.108678,2,Low
2026-05-02 12:37:01.188933,1,Low
2026-05-02 12:37:01.305203,1,Low
2026-05-02 12:37:01.397630,1,Low
2026-05-02 12:37:01.511171,1,Low
2026-05-02 12:37:01.629639,1,Low
2026-05-02 12:37:01.761309,1,Low
2026-05-02 12:37:01.867701,1,Low
2026-05-02 12:37:01.984146,2,Low
2026-05-02 12:37:02.107363,1,Low
2026-05-02 12:37:02.224005,1,Low
2026-05-02 12:37:02.335877,1,Low
2026-05-02 12:37:02.456031,1,Low
2026-05-02 12:37:02.588628,1,Low
2026-05-02 12:37:02.693960,1,Low
2026-05-02 12:37:02.817486,1,Low
2026-05-02 12:37:02.932269,0,Low
2026-05-02 12:37:03.043462,0,Low
2026-05-02 12:37:03.172322,0,Low
2026-05-02 12:37:03.278061,0,Low
2026-05-02 12:37:03.385154,0,Low
2026-05-02 12:37:03.488044,0,Low
2026-05-02 12:37:03.605192,0,Low
2026-05-02 12:37:03.720385,0,Low
2026-05-02 12:37:03.827075,0,Low
2026-05-02 12:37:03.932074,0,Low
2026-05-02 12:37:04.057774,0,Low
2026-05-02 12:37:04.170196,0,Low
2026-05-02 12:37:04.288318,0,Low
2026-05-02 12:37:04.404609,0,Low
2026-05-02 12:37:04.521090,0,Low
2026-05-02 12:37:04.637978,0,Low
2026-05-02 12:37:04.743023,0,Low
2026-05-02 12:37:04.843025,0,Low
2026-05-02 12:37:04.966202,0,Low
2026-05-02 12:37:05.072694,0,Low
2026-05-02 12:37:05.170723,0,Low
2026-05-02 12:37:05.293922,0,Low
2026-05-02 12:37:05.411649,1,Low
2026-05-02 12:37:05.538048,1,Low
2026-05-02 12:37:05.641549,2,Low
2026-05-02 12:37:05.796241,1,Low
2026-05-02 12:37:05.952590,1,Low
2026-05-02 12:37:06.045888,1,Low
2026-05-02 12:37:06.145738,1,Low
2026-05-02 12:37:06.264455,1,Low
2026-05-02 12:37:06.388983,1,Low
